Vardas         Pavarde             ND1  ND2  ND3  ND4  ND5  Egz  
Vardas6188     Pavarde6188         1    7    10   7    3    4    
Vardas3922     Pavarde3922         1    3    4    2    7    4    
Vardas9618     Pavarde9618         4    3    1    9    4    5    
Vardas1567     Pavarde1567         6    1    5    10   6    3    
Vardas2724     Pavarde2724         9    1    10   7    9    1    
Vardas1843     Pavarde1843         4    4    1    10   6    1    
Vardas1855     Pavarde1855         3    8    8    6    5    3    
Vardas1679     Pavarde1679         2    6    4    5    1    6    
Vardas6180     Pavarde6180         5    2    8    6    8    6    
Vardas7420     Pavarde7420         4    9    4    9    5    10   
Vardas2797     Pavarde2797         1    3    10   4    4    10   
Vardas9258     Pavarde9258         7    6    7    1    7    7    
Vardas3705     Pavarde3705         2    1    5    1    1    3    
Vardas7425     Pavarde7425         9    3    10   2    1    9    
Vardas5462     Pavarde5462         9    1    6    3    2    1    
Vardas8441     Pavarde8441         9    4    10   6    7    5    
Vardas5957     Pavarde5957         1    8    2    9    6    9    
Vardas1336     Pavarde1336         5    3    3    10   6    10   
Vardas1398     Pavarde1398         9    7    10   9    9    5    
Vardas4797     Pavarde4797         3    4    7    10   5    1    
Vardas4556     Pavarde4556         2    6    7    3    10   7    
Vardas9938     Pavarde9938         7    4    5    1    4    8    
Vardas1864     Pavarde1864         1    2    3    5    8    4    
Vardas1816     Pavarde1816         9    1    6    5    9    5    
Vardas9450     Pavarde9450         8    9    5    1    7    3    
Vardas1707     Pavarde1707         5    5    10   8    6    4    
Vardas6017     Pavarde6017         7    3    6    6    4    8    
Vardas4798     Pavarde4798         9    3    7    7    6    10   
Vardas2167     Pavarde2167         3    5    7    8    8    6    
Vardas1316     Pavarde1316         4    4    8    1    7    4    
Vardas9629     Pavarde9629         5    9    8    1    8    1    
Vardas2972     Pavarde2972         3    5    7    10   1    6    
Vardas4046     Pavarde4046         1    8    10   4    5    1    
Vardas6189     Pavarde6189         4    10   5    9    2    10   
Vardas3337     Pavarde3337         9    2    10   7    10   9    
Vardas2902     Pavarde2902         3    2    7    3    5    10   
Vardas3098     Pavarde3098         2    9    9    5    3    5    
Vardas5287     Pavarde5287         6    3    9    5    6    7    
Vardas4576     Pavarde4576         9    4    3    10   5    9    
Vardas1525     Pavarde1525         7    4    3    1    6    1    
Vardas9234     Pavarde9234         3    7    1    5    5    9    
Vardas3882     Pavarde3882         3    5    4    5    10   5    
Vardas953      Pavarde953          1    8    4    2    3    7    
Vardas8818     Pavarde8818         5    8    10   10   7    3    
Vardas422      Pavarde422          7    8    5    10   9    3    
Vardas7443     Pavarde7443         1    7    3    2    1    1    
Vardas4289     Pavarde4289         9    3    8    8    5    1    
Vardas589      Pavarde589          3    4    6    7    8    6    
Vardas1034     Pavarde1034         10   2    7    3    2    4    
Vardas5009     Pavarde5009         2    1    4    5    7    6    
Vardas8629     Pavarde8629         6    7    8    9    6    8    
Vardas3378     Pavarde3378         8    2    8    4    7    1    
Vardas9586     Pavarde9586         10   1    5    7    3    4    
Vardas2384     Pavarde2384         6    7    7    10   4    2    
Vardas9315     Pavarde9315         2    10   3    9    2    7    
Vardas7373     Pavarde7373         3    2    2    7    1    9    
Vardas6511     Pavarde6511         10   8    9    2    9    10   
Vardas6        Pavarde6            9    2    9    1    4    3    
Vardas5153     Pavarde5153         5    8    5    8    8    7    
Vardas7915     Pavarde7915         10   2    10   10   7    3    
Vardas8984     Pavarde8984         4    7    4    10   8    6    
Vardas3053     Pavarde3053         8    3    3    6    6    8    
Vardas4173     Pavarde4173         10   2    8    2    4    1    
Vardas2580     Pavarde2580         7    9    9    6    4    2    
Vardas4252     Pavarde4252         6    5    7    2    6    6    
Vardas8017     Pavarde8017         4    1    7    10   1    2    
Vardas2247     Pavarde2247         5    10   5    6    7    5    
Vardas4743     Pavarde4743         10   9    4    8    1    6    
Vardas9543     Pavarde9543         9    8    9    8    4    10   
Vardas6699     Pavarde6699         1    3    2    2    3    10   
Vardas5675     Pavarde5675         10   8    4    4    3    10   
Vardas4118     Pavarde4118         6    5    8    9    9    5    
Vardas4306     Pavarde4306         10   9    8    2    7    5    
Vardas2478     Pavarde2478         9    6    1    9    7    5    
Vardas8547     Pavarde8547         10   10   1    2    5    4    
Vardas2578     Pavarde2578         5    9    8    4    8    1    
Vardas5184     Pavarde5184         10   10   6    10   6    7    
Vardas706      Pavarde706          9    5    7    4    2    9    
Vardas7660     Pavarde7660         1    6    5    8    8    8    
Vardas3608     Pavarde3608         1    8    4    5    1    1    
Vardas4535     Pavarde4535         1    2    7    10   7    8    
Vardas574      Pavarde574          8    2    8    10   4    9    
Vardas9384     Pavarde9384         10   6    3    4    6    7    
Vardas9053     Pavarde9053         8    7    8    8    10   7    
Vardas3371     Pavarde3371         7    2    3    4    6    5    
Vardas6745     Pavarde6745         2    7    7    4    8    1    
Vardas4740     Pavarde4740         10   8    7    4    5    5    
Vardas7223     Pavarde7223         5    10   1    5    1    2    
Vardas9985     Pavarde9985         8    3    6    6    7    10   
Vardas403      Pavarde403          5    7    10   2    5    6    
Vardas8506     Pavarde8506         10   2    8    1    6    10   
Vardas2636     Pavarde2636         3    2    8    6    3    4    
Vardas6530     Pavarde6530         5    6    8    4    10   10   
Vardas336      Pavarde336          3    8    6    10   10   9    
Vardas761      Pavarde761          4    2    10   1    7    5    
Vardas6992     Pavarde6992         9    2    9    7    8    8    
Vardas9581     Pavarde9581         10   4    5    2    10   1    
Vardas774      Pavarde774          8    7    1    9    9    6    
Vardas4356     Pavarde4356         1    5    7    10   9    8    
Vardas2266     Pavarde2266         4    1    7    2    8    8    
Vardas1410     Pavarde1410         9    6    8    9    10   10   
Vardas6584     Pavarde6584         2    5    4    7    10   6    
Vardas2440     Pavarde2440         8    8    7    5    2    10   
Vardas3223     Pavarde3223         6    10   2    1    5    6    
Vardas924      Pavarde924          10   6    8    5    6    7    
Vardas2722     Pavarde2722         4    8    3    9    4    2    
Vardas1057     Pavarde1057         8    8    9    9    9    4    
Vardas6386     Pavarde6386         3    9    10   4    4    9    
Vardas3615     Pavarde3615         4    8    7    10   6    1    
Vardas6230     Pavarde6230         3    1    4    4    5    7    
Vardas6016     Pavarde6016         10   9    6    7    1    3    
Vardas5075     Pavarde5075         3    8    8    6    5    2    
Vardas5170     Pavarde5170         8    4    10   8    7    8    
Vardas9192     Pavarde9192         1    5    10   2    4    5    
Vardas9045     Pavarde9045         1    5    2    3    7    1    
Vardas7382     Pavarde7382         2    4    5    3    7    6    
Vardas6847     Pavarde6847         6    9    2    10   10   7    
Vardas7894     Pavarde7894         10   6    1    6    10   10   
Vardas9075     Pavarde9075         2    9    6    8    3    3    
Vardas2862     Pavarde2862         1    2    2    10   1    10   
Vardas8952     Pavarde8952         7    1    5    5    3    9    
Vardas1355     Pavarde1355         1    1    5    5    8    1    
Vardas4244     Pavarde4244         7    1    5    9    8    4    
Vardas6042     Pavarde6042         7    8    8    7    9    5    
Vardas1788     Pavarde1788         3    7    3    2    1    4    
Vardas164      Pavarde164          6    1    5    3    5    5    
Vardas5402     Pavarde5402         6    4    1    8    1    3    
Vardas9591     Pavarde9591         3    8    6    6    9    1    
Vardas218      Pavarde218          3    5    8    1    3    8    
Vardas8179     Pavarde8179         7    6    10   3    7    6    
Vardas5192     Pavarde5192         9    6    5    4    3    7    
Vardas5880     Pavarde5880         9    5    9    3    7    1    
Vardas7380     Pavarde7380         9    4    4    8    8    3    
Vardas4179     Pavarde4179         10   1    5    5    8    3    
Vardas527      Pavarde527          8    10   9    4    4    6    
Vardas6994     Pavarde6994         5    4    6    6    7    5    
Vardas7720     Pavarde7720         7    5    6    5    3    1    
Vardas8172     Pavarde8172         4    10   3    4    2    6    
Vardas4877     Pavarde4877         3    5    9    3    8    6    
Vardas8555     Pavarde8555         10   8    3    9    9    10   
Vardas9594     Pavarde9594         6    10   3    1    8    4    
Vardas73       Pavarde73           10   5    2    1    6    3    
Vardas931      Pavarde931          2    10   10   7    6    4    
Vardas1412     Pavarde1412         5    5    6    4    5    1    
Vardas4598     Pavarde4598         4    10   3    8    4    8    
Vardas4374     Pavarde4374         3    3    7    4    1    10   
Vardas4982     Pavarde4982         1    9    3    10   6    6    
Vardas854      Pavarde854          10   6    7    5    5    1    
Vardas901      Pavarde901          1    5    9    1    9    5    
Vardas9439     Pavarde9439         5    5    3    6    1    6    
Vardas1624     Pavarde1624         4    9    3    5    1    6    
Vardas794      Pavarde794          2    1    7    3    10   9    
Vardas4365     Pavarde4365         1    8    2    10   5    6    
Vardas2597     Pavarde2597         7    1    4    1    2    8    
Vardas2519     Pavarde2519         1    2    2    8    7    8    
Vardas2140     Pavarde2140         9    5    1    2    2    7    
Vardas8302     Pavarde8302         9    4    6    9    10   1    
Vardas2115     Pavarde2115         2    10   2    10   3    5    
Vardas9702     Pavarde9702         7    7    1    3    6    2    
Vardas7074     Pavarde7074         7    3    4    7    8    9    
Vardas2058     Pavarde2058         10   2    8    10   6    10   
Vardas9073     Pavarde9073         8    7    8    9    2    9    
Vardas6731     Pavarde6731         3    5    5    8    1    9    
Vardas2919     Pavarde2919         9    9    6    4    3    4    
Vardas1620     Pavarde1620         7    8    6    8    5    5    
Vardas2999     Pavarde2999         8    5    2    6    1    8    
Vardas121      Pavarde121          6    10   3    9    3    9    
Vardas8590     Pavarde8590         6    2    5    9    9    3    
Vardas732      Pavarde732          6    4    9    3    5    4    
Vardas5813     Pavarde5813         3    3    3    4    10   3    
Vardas2846     Pavarde2846         8    8    2    6    10   9    
Vardas6020     Pavarde6020         8    5    7    1    8    4    
Vardas5258     Pavarde5258         2    9    6    10   3    4    
Vardas8721     Pavarde8721         2    4    6    1    4    3    
Vardas6814     Pavarde6814         5    1    5    10   3    1    
Vardas6822     Pavarde6822         3    3    5    5    7    8    
Vardas9113     Pavarde9113         8    4    6    1    4    3    
Vardas3058     Pavarde3058         5    4    1    2    10   2    
Vardas1009     Pavarde1009         9    3    4    3    7    5    
Vardas8884     Pavarde8884         4    9    1    10   4    4    
Vardas5749     Pavarde5749         7    10   5    10   4    8    
Vardas6491     Pavarde6491         1    5    3    10   2    2    
Vardas1755     Pavarde1755         4    7    10   9    10   8    
Vardas836      Pavarde836          6    5    5    4    10   1    
Vardas7352     Pavarde7352         6    5    2    9    2    1    
Vardas59       Pavarde59           7    4    3    2    1    10   
Vardas4395     Pavarde4395         6    9    7    5    1    5    
Vardas6330     Pavarde6330         7    9    2    2    8    7    
Vardas5105     Pavarde5105         9    2    5    5    9    7    
Vardas659      Pavarde659          1    2    6    10   4    2    
Vardas5335     Pavarde5335         3    9    2    4    2    2    
Vardas3911     Pavarde3911         5    2    10   1    5    3    
Vardas9030     Pavarde9030         2    6    5    4    2    1    
Vardas4648     Pavarde4648         7    3    10   7    9    6    
Vardas1861     Pavarde1861         2    2    2    2    6    6    
Vardas4882     Pavarde4882         10   3    2    10   8    5    
Vardas2091     Pavarde2091         10   2    3    6    7    6    
Vardas6987     Pavarde6987         3    4    7    6    7    4    
Vardas2540     Pavarde2540         2    2    7    6    9    7    
Vardas1715     Pavarde1715         10   3    2    8    6    2    
Vardas7875     Pavarde7875         4    1    2    4    9    2    
Vardas2213     Pavarde2213         2    2    1    7    8    5    
Vardas2555     Pavarde2555         7    8    10   3    9    10   
Vardas950      Pavarde950          1    2    9    6    3    1    
Vardas2070     Pavarde2070         6    3    8    6    5    10   
Vardas5704     Pavarde5704         7    3    6    5    3    1    
Vardas8138     Pavarde8138         4    3    2    6    6    10   
Vardas1582     Pavarde1582         9    8    10   6    1    8    
Vardas9652     Pavarde9652         4    1    1    4    10   3    
Vardas8994     Pavarde8994         2    5    3    8    4    6    
Vardas7392     Pavarde7392         7    5    1    6    1    9    
Vardas5048     Pavarde5048         8    3    2    4    4    1    
Vardas4329     Pavarde4329         1    6    9    2    2    8    
Vardas2900     Pavarde2900         7    2    8    7    2    6    
Vardas2741     Pavarde2741         8    8    5    5    6    1    
Vardas6115     Pavarde6115         10   8    8    9    9    5    
Vardas912      Pavarde912          5    2    1    1    7    3    
Vardas9251     Pavarde9251         4    10   8    10   2    4    
Vardas2921     Pavarde2921         6    3    4    5    10   3    
Vardas9245     Pavarde9245         7    5    8    7    6    3    
Vardas2253     Pavarde2253         10   6    4    9    6    3    
Vardas7309     Pavarde7309         6    1    7    6    2    2    
Vardas2339     Pavarde2339         6    3    1    7    4    6    
Vardas3425     Pavarde3425         1    5    4    10   3    1    
Vardas9077     Pavarde9077         10   3    1    9    4    9    
Vardas6752     Pavarde6752         9    6    4    9    3    4    
Vardas990      Pavarde990          9    7    9    2    8    1    
Vardas190      Pavarde190          6    8    4    5    10   3    
Vardas7777     Pavarde7777         1    10   5    3    9    7    
Vardas9894     Pavarde9894         7    7    3    2    7    3    
Vardas1937     Pavarde1937         3    3    6    6    7    10   
Vardas1690     Pavarde1690         1    6    6    2    1    8    
Vardas7235     Pavarde7235         8    10   8    5    7    7    
Vardas1828     Pavarde1828         3    2    2    6    2    10   
Vardas5278     Pavarde5278         4    8    7    4    5    10   
Vardas6904     Pavarde6904         3    9    5    7    9    9    
Vardas1447     Pavarde1447         1    10   4    8    9    9    
Vardas516      Pavarde516          9    4    9    1    10   5    
Vardas2206     Pavarde2206         6    7    3    1    6    7    
Vardas9286     Pavarde9286         9    9    10   6    9    2    
Vardas1790     Pavarde1790         3    3    3    6    4    9    
Vardas1056     Pavarde1056         2    7    7    2    4    7    
Vardas1914     Pavarde1914         5    2    9    7    6    9    
Vardas8155     Pavarde8155         8    7    3    6    4    7    
Vardas1670     Pavarde1670         3    3    1    3    1    4    
Vardas6784     Pavarde6784         6    7    2    1    2    10   
Vardas4076     Pavarde4076         3    1    9    3    9    10   
Vardas3071     Pavarde3071         7    2    1    1    9    8    
Vardas5454     Pavarde5454         1    1    9    6    10   7    
Vardas807      Pavarde807          10   3    7    10   8    9    
Vardas5895     Pavarde5895         4    9    2    6    9    5    
Vardas2908     Pavarde2908         8    7    7    4    6    5    
Vardas6361     Pavarde6361         1    2    2    5    7    6    
Vardas5081     Pavarde5081         9    1    3    1    4    10   
Vardas8052     Pavarde8052         6    5    5    6    1    6    
Vardas3941     Pavarde3941         3    4    1    7    5    1    
Vardas944      Pavarde944          10   8    7    6    2    9    
Vardas6817     Pavarde6817         1    10   10   5    2    7    
Vardas975      Pavarde975          6    6    5    6    9    4    
Vardas2501     Pavarde2501         7    8    8    2    4    6    
Vardas8685     Pavarde8685         4    4    2    4    3    7    
Vardas8673     Pavarde8673         5    8    3    3    7    8    
Vardas9761     Pavarde9761         3    10   1    7    2    4    
Vardas538      Pavarde538          3    1    9    4    9    3    
Vardas7076     Pavarde7076         1    3    6    10   10   3    
Vardas1466     Pavarde1466         10   5    2    9    1    2    
Vardas4270     Pavarde4270         6    2    8    8    2    10   
Vardas7138     Pavarde7138         1    5    9    5    2    6    
Vardas6901     Pavarde6901         6    10   7    7    8    2    
Vardas4158     Pavarde4158         9    2    4    1    9    5    
Vardas4689     Pavarde4689         1    3    1    1    4    5    
Vardas8533     Pavarde8533         9    5    4    2    3    7    
Vardas4047     Pavarde4047         1    9    6    2    6    9    
Vardas3234     Pavarde3234         1    6    9    2    3    2    
Vardas7735     Pavarde7735         4    3    7    10   4    2    
Vardas8404     Pavarde8404         1    10   1    6    9    4    
Vardas2759     Pavarde2759         7    5    1    8    3    7    
Vardas6696     Pavarde6696         7    1    3    6    7    10   
Vardas4698     Pavarde4698         9    7    5    6    7    3    
Vardas5921     Pavarde5921         1    6    3    5    2    7    
Vardas6025     Pavarde6025         1    6    9    5    8    5    
Vardas4940     Pavarde4940         6    10   6    9    4    1    
Vardas6494     Pavarde6494         2    8    4    1    4    4    
Vardas1807     Pavarde1807         7    3    1    3    10   2    
Vardas6766     Pavarde6766         10   2    6    2    2    7    
Vardas191      Pavarde191          10   8    4    10   9    9    
Vardas945      Pavarde945          2    2    5    6    9    9    
Vardas2637     Pavarde2637         6    9    1    9    9    8    
Vardas1855     Pavarde1855         8    10   2    6    6    5    
